,event_id,event,event_region,event_start_date,event_end_date,prize_money,stage,match_id,game_id,game_duration
40,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b5,61600530f8090ec745286ea3,300.0
41,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b5,61600533f8090ec745286eaa,300.0
42,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b6,,
43,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b7,61614fff143c37878b238828,300.0
44,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b7,61615004143c37878b23882f,329.0
45,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b7,61615008f8090ec7452870d4,300.0
46,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b7,6161500cf8090ec7452870db,300.0
47,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b7,61615010143c37878b238836,308.0
48,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b8,616150d4f8090ec74528711a,300.0
49,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b8,616150d8143c37878b23886e,300.0
50,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b8,616150de143c37878b238875,300.0
51,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b8,616150e2f8090ec745287121,300.0
52,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b9,616005f7143c37878b2386e4,300.0
53,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b9,616005fbf8090ec745286ecd,300.0
54,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384b9,616005fff8090ec745286ed4,300.0
55,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384ba,,
56,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bb,61615146143c37878b23887c,300.0
57,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bb,6161515d143c37878b23888a,300.0
58,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bb,6161514ef8090ec745287137,442.0
59,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bb,61615153143c37878b238883,300.0
60,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bb,61615163143c37878b238891,357.0
61,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bc,616151cbf8090ec745287153,300.0
62,614b7046f8090ec74528642d,Regional 1,Oceania,2021-10-07 23:00:00+00:00,2021-10-17 22:30:00+00:00,30000.0,Swiss Stage,6159ad3d143c37878b2384bc,616151cf143c37878b23889f,300.0
