,game_id,color,team_id,team_name,team_region,core_shots,core_goals,core_saves,core_assists,core_score,winner
72,61600528143c37878b2386a5,blue,614c8930f8090ec745286474,RANGA ROUNDUP,Oceania,7,3,2,2,1107,True
73,61600528143c37878b2386a5,orange,6156d4db143c37878b238367,TRIDENT ESPORTS,Oceania,6,1,3,0,856,False
74,6160052c143c37878b2386ac,blue,614c8930f8090ec745286474,RANGA ROUNDUP,Oceania,7,0,3,0,676,False
75,6160052c143c37878b2386ac,orange,6156d4db143c37878b238367,TRIDENT ESPORTS,Oceania,7,2,4,2,1103,True
76,61600530f8090ec745286ea3,blue,614c8930f8090ec745286474,RANGA ROUNDUP,Oceania,4,3,5,2,1256,True
77,61600530f8090ec745286ea3,orange,6156d4db143c37878b238367,TRIDENT ESPORTS,Oceania,8,1,1,1,728,False
78,61600533f8090ec745286eaa,blue,614c8930f8090ec745286474,RANGA ROUNDUP,Oceania,6,2,3,0,955,False
79,61600533f8090ec745286eaa,orange,6156d4db143c37878b238367,TRIDENT ESPORTS,Oceania,6,3,2,3,1099,True
80,61614fff143c37878b238828,blue,604e562301d675f81a96aea6,BIG GOOSE,Oceania,7,2,9,1,1282,False
81,61614fff143c37878b238828,orange,6020c1fbf1e4807cc7026852,VORT CENTRAL,Oceania,15,3,3,2,1141,True
82,61615004143c37878b23882f,blue,604e562301d675f81a96aea6,BIG GOOSE,Oceania,5,1,4,1,927,False
83,61615004143c37878b23882f,orange,6020c1fbf1e4807cc7026852,VORT CENTRAL,Oceania,7,2,2,1,813,True
84,61615008f8090ec7452870d4,blue,604e562301d675f81a96aea6,BIG GOOSE,Oceania,14,3,7,3,1468,True
85,61615008f8090ec7452870d4,orange,6020c1fbf1e4807cc7026852,VORT CENTRAL,Oceania,10,2,7,2,1432,False
86,6161500cf8090ec7452870db,blue,604e562301d675f81a96aea6,BIG GOOSE,Oceania,11,3,5,2,1262,True
87,6161500cf8090ec7452870db,orange,6020c1fbf1e4807cc7026852,VORT CENTRAL,Oceania,8,2,6,2,1136,False
88,61615010143c37878b238836,blue,604e562301d675f81a96aea6,BIG GOOSE,Oceania,10,2,4,2,1097,False
89,61615010143c37878b238836,orange,6020c1fbf1e4807cc7026852,VORT CENTRAL,Oceania,10,3,6,2,1321,True
90,616150d4f8090ec74528711a,blue,6091ad1bd50a7d046663343d,TEAM EROS,Oceania,7,3,2,1,888,True
91,616150d4f8090ec74528711a,orange,60c1e2879fc1a47e5f1116c8,PANIK GAMING,Oceania,4,1,1,1,619,False
92,616150d8143c37878b23886e,blue,6091ad1bd50a7d046663343d,TEAM EROS,Oceania,8,2,7,1,1019,False
93,616150d8143c37878b23886e,orange,60c1e2879fc1a47e5f1116c8,PANIK GAMING,Oceania,11,4,6,4,1427,True
94,616150de143c37878b238875,blue,6091ad1bd50a7d046663343d,TEAM EROS,Oceania,11,4,4,4,1477,True
